waypoint,iteration,position_error_m,orientation_error_rad,combined_error
Approach,0,0.662992275953741,0.7853802546515691,1.0278039221421977
Approach,1,0.35951241035467285,0.23699329817210865,0.43059841683118233
Approach,2,0.17366412762209787,0.1756394002444256,0.2469988423879064
Approach,3,0.06295957699664576,0.07180981227006288,0.09550160979720833
Approach,4,0.00995918682456276,0.007852673146858443,0.012682660515756785
Approach,5,0.0014977343775881705,0.00013889093597118767,0.001504160549244786
Approach,6,0.00025148526810699317,3.4354718082076646e-05,0.0002538209737774741
Approach,7,4.312325182275898e-05,7.227477410720365e-06,4.372472158277922e-05
Approach,8,7.508820638715639e-06,1.4811446510212724e-06,7.653507487528242e-06
Descend,0,0.08000403509035034,1.4811446510212724e-06,0.08000403510406083
Descend,1,0.01300773000706938,0.006597554259007678,0.014585224103090207
Descend,2,0.0021503826925885973,0.0002866419439664547,0.002169402988986936
Descend,3,0.00034846906035264797,4.318355097599693e-05,0.0003511345968399496
Descend,4,5.696792186404503e-05,7.060899334263008e-06,5.74038362909356e-05
Descend,5,9.342649114384745e-06,1.0849386862414968e-06,9.405433771358846e-06
Lift,0,0.07999380314357742,1.0849386862414968e-06,0.07999380315093481
Lift,1,0.012954406830531118,0.010183833686811848,0.01647808013366712
Lift,2,0.0021079064327853415,0.0010468686379028012,0.0023535512474561265
Lift,3,0.0003406448237439599,0.00017897158982466675,0.00038479829249611055
Lift,4,5.779596687597788e-05,3.110882747067309e-05,6.563636898647911e-05
Lift,5,1.0157080486324414e-05,5.347957713695371e-06,1.1478977990794566e-05
Lift,6,1.8246767607859662e-06,9.230659809623846e-07,2.0448706772220136e-06
Transfer,0,0.3019793033911119,9.230659809623846e-07,0.30197930339252266
Transfer,1,0.0904623449785479,0.029170154459212675,0.09504911241138517
Transfer,2,0.016090292581243015,0.01521149252625012,0.022142425798140707
Transfer,3,0.009540475911151116,0.007757128730813941,0.01229608583077045
Transfer,4,0.00677285793483009,0.005196751032121321,0.00853685105265665
Transfer,5,0.00488458553592212,0.003621585424807904,0.006080711870079082
Transfer,6,0.003531251876473097,0.002560305986898277,0.004361754986429422
Transfer,7,0.0025523109993043675,0.0018257674439010366,0.0031381074226958803
Transfer,8,0.0018436801062287679,0.0013085357800196628,0.002260845466124429
Transfer,9,0.0013310987506234741,0.0009404356253961422,0.0016297984689603825
Transfer,10,0.0009606310532224989,0.0006768831928108927,0.0011751522782708782
Transfer,11,0.0006930560385273233,0.00048756515081455634,0.0008473762144573138
Transfer,12,0.0004998966171348884,0.0003513358585226074,0.000611010239936061
Transfer,13,0.00036051110020427797,0.000253219861629563,0.0004405548225751184
Transfer,14,0.00025995817111204643,0.00018252172654173037,0.0003176356897259724
Transfer,15,0.00018743440275825976,0.00013156811720922872,0.00022900180087354527
Transfer,16,0.00013513469043089835,9.484076732879156e-05,0.00016509438423328854
Transfer,17,9.742354147214095e-05,6.836636834883706e-05,0.00011901809423017509
Transfer,18,7.023379945589138e-05,4.928226118771145e-05,8.57993464647848e-05
Transfer,19,5.063114087609403e-05,3.552535429937239e-05,6.185113761694941e-05
Transfer,20,3.649904812233268e-05,2.560858357358232e-05,4.4586770083529344e-05
Transfer,21,2.631114743976958e-05,1.8460013336480828e-05,3.214107297493883e-05
Transfer,22,1.8966797875704153e-05,1.3306929427797977e-05,2.316924237980628e-05
Transfer,23,1.367241848893048e-05,9.592309844981775e-06,1.6701719537178868e-05
Transfer,24,9.855861179135373e-06,6.914617385131e-06,1.2039515487142478e-05
Transfer,25,7.104643722163465e-06,4.984399134469583e-06,8.678720939780116e-06
Place,0,0.099993040681838,4.984399134469583e-06,0.09999304080606781
Place,1,0.05143088996351479,0.031171657737440323,0.06013990928276571
Place,2,0.0221549941906028,0.011495308731276624,0.024959685302763903
Place,3,0.005003165028209436,0.0013043180464230378,0.005170387399965571
Place,4,0.001232105583842957,0.0003150270593963436,0.0012717414115648283
Place,5,0.0003071333071009087,8.99708271689239e-05,0.0003200400257345969
Place,6,7.760176525835235e-05,2.4987763684473823e-05,8.152559294579543e-05
Place,7,1.9766631676525838e-05,6.744739951518174e-06,2.0885670801988623e-05
Place,8,5.057265167693685e-06,1.7889390892051147e-06,5.364348426533632e-06
