trial_id,start_x_m,start_y_m,perception_success,localization_success,planning_success,execution_success,controller_success,e2e_success,localization_xy_error_m,trajectory_points,moved_distance_m,place_error_m,final_z_m,failure_reason,wall_time_s
1,0.13161344022843682,0.031263216259412537,True,True,False,False,False,False,0.0034968022660539578,0,0.0,0.24740733028835013,0.849892244735379,IK feasibility check failed,0.29079445800743997
2,0.37700231904025483,0.09613277532166897,True,True,True,True,True,True,0.00276500623822429,250,0.2498754912542978,0.00836285238589606,0.8498922445797832,,0.35756845807190984
3,0.3399933432324707,0.15165245398261082,True,True,True,True,True,True,0.0017855816456138604,250,0.29635476897507923,0.007989015230671893,0.8498922445797833,,0.36094258294906467
4,0.2682238278696342,0.09590902195942753,True,True,True,True,True,True,0.0023815442670604182,250,0.24186528331354348,0.00631973200268469,0.8498922445797833,,0.35147404205054045
5,0.28746943145247994,0.1670741550566787,True,True,True,True,True,True,0.003758840034326901,250,0.30889511352074456,0.008443136055404378,0.8498922445797832,,0.34929191693663597
6,0.30076788937257254,0.15688566111394314,True,True,True,True,True,True,0.0017490207292398916,250,0.299060435782146,0.007827182964281166,0.8498922445797833,,0.3011219999752939
7,0.4619073692660042,0.2748378541737776,True,True,True,True,True,True,0.003591738801325373,250,0.4320461977996939,0.024907747386556985,0.8498922445797833,,0.3709898750530556
8,0.32264375635907344,0.0649024069460827,True,True,True,True,True,True,0.002018440572076468,250,0.20817151449489568,0.007936640010105309,0.8498922445797832,,0.3614467909792438
9,0.16682397923833206,0.12160878827661899,True,True,True,True,True,True,0.0027711772641402727,250,0.31192748943733906,0.00972714672804356,0.8498922445797832,,0.36879195808432996
10,0.2779677439290947,0.22499096618909312,True,True,True,True,True,True,0.0034937008664206685,250,0.3674231641306647,0.008228795830105778,0.8498922445797832,,0.3809593750629574
11,0.28589378479480665,0.2786395021886239,True,True,True,True,True,True,0.0017576309363069938,250,0.4191209305526193,0.009751050706895744,0.8498922445797833,,0.36811150005087256
12,0.3139581300104201,0.2594969704756844,True,True,True,True,True,True,0.00270148038589047,250,0.3998985754539313,0.00986673560861408,0.8498922445797832,,0.40900070895440876
13,0.1777766281610095,0.07145505309342055,True,True,True,True,True,True,0.002450098212256213,250,0.26177369009699664,0.009095614520101,0.8498922445797832,,0.3996261249994859
14,0.3762389455041774,0.0980814966808034,True,True,True,True,True,True,0.004407065798945553,250,0.2514719044615065,0.0083824465443831,0.8498922445797833,,0.39961229206528515
15,0.32745245447042143,0.18525433174971256,True,True,True,True,True,True,0.004053800614579686,250,0.32793384355788974,0.008467481112634985,0.8498922445797832,,0.40378108399454504
16,0.19929486747369982,0.09164709717276744,True,True,True,True,True,True,0.0016740341382522005,250,0.26916627665915993,0.007911900947324805,0.8498922445797833,,0.4123371670721099
17,0.3246903708867663,0.0716623801717572,True,True,True,True,True,True,0.0021982808788834855,250,0.21514898717893177,0.007899943344754063,0.8498922445797832,,0.3788225830066949
18,0.20464851327102232,0.032666218853316886,True,True,True,True,True,True,0.002047706713317556,250,0.2123404890010967,0.006686843216429122,0.8498922445797832,,0.38869362499099225
19,0.36550254069301674,0.20092491914786323,True,True,True,True,True,True,0.002759253042431315,250,0.3469673283147621,0.010328399021955531,0.8498922445797832,,0.40850579098332673
20,0.4414877473441184,0.27845411784880114,True,True,True,True,True,True,0.0029245530610012204,250,0.43093140927300283,0.02198427376211874,0.8498922445797832,,0.4231356249656528
21,0.13472742215207267,0.14273622668314132,True,True,False,False,False,False,0.0005861901647233198,0,0.0,0.3361688911859375,0.849892244735379,IK feasibility check failed,0.1787686669267714
22,0.43267022440626546,0.2615598946166594,True,True,True,True,True,True,0.0038140159621978856,250,0.4147948225667824,0.019246956881290384,0.8498922445797832,,0.4785746659617871
23,0.3781014476994791,0.14121614696670057,True,True,True,True,True,True,0.0032418786731769128,250,0.29254339851989264,0.009354586507409661,0.8498922445797832,,0.42624087492004037
24,0.27694408666577386,0.05352756507174281,True,True,True,True,True,True,0.00246614203432409,250,0.19905177150712103,0.0059560970135250305,0.8498922445797832,,0.39879154204390943
25,0.24663220843636455,0.04833747040171283,True,True,True,True,True,True,0.0016787029883235795,250,0.20457783110323144,0.0025801852237726354,0.8498922445797832,,0.3571179579012096
26,0.3601055049104093,0.304543761042545,True,True,True,True,True,True,0.00475589972356723,250,0.44568266167691273,0.013196295212451678,0.8498922445797833,,0.3767457080539316
27,0.14187246687908447,0.05107284205730205,True,True,False,False,False,False,0.0004892032139915778,0,0.0,0.2558018853407984,0.849892244735379,IK feasibility check failed,0.1547687080455944
28,0.1217392911088416,0.17342216036129832,True,True,False,False,False,False,0.0017445208606477938,0,0.0,0.36929496902496206,0.849892244735379,IK feasibility check failed,0.16208766703493893
29,0.2917194664740061,0.116161342933957,True,True,True,True,True,True,0.0029111002822343897,250,0.2580325115429532,0.008273710635534845,0.8498922445797832,,0.3313776249997318
30,0.2642748061343917,0.16272789777143137,True,True,True,True,True,True,0.002507683088385857,250,0.3082802764076331,0.006621472225705143,0.8498922445797832,,0.37498987501021475
31,0.4921598690930283,0.2990924729435073,True,True,True,True,True,True,0.004418167746671778,250,0.46392893062639134,0.024552993761542238,0.8498922445797832,,0.39559595799073577
32,0.4928824293484412,0.2928586429712023,True,True,True,True,True,True,0.002967814677355431,250,0.4580379754818555,0.02502180130289127,0.8498922445797833,,0.3727478750515729
33,0.2731384520783562,0.12968807372056546,True,True,True,True,True,True,0.0011005709311198487,250,0.274143603639819,0.006917355579813501,0.8498922445797832,,0.34491458302363753
34,0.2906018400216375,0.30710975329899554,True,True,True,True,True,True,0.0042013926067428695,250,0.44631259276600066,0.010905066279259273,0.8498922445797833,,0.387319500092417
35,0.26686220101316604,0.07953765185689983,True,True,True,True,True,True,0.002540896995070521,250,0.22673074720241715,0.0054777455618303245,0.8498922445797832,,0.39577670802827924
36,0.12363257888004996,0.03134114502926911,True,True,False,False,False,False,0.003163037783151215,0,0.0,0.25296260220243666,0.849892244735379,IK feasibility check failed,0.17531762504950166
37,0.36265056141942714,0.0997242630730836,True,True,True,True,True,True,0.0024786481332071853,250,0.24979341475200276,0.007846791451379292,0.8498922445797832,,0.3884394170017913
38,0.23399909436604488,0.05494158493496775,True,True,True,True,True,True,0.0018389075512420302,250,0.2166566997848143,0.0029513631297752845,0.8498922445797832,,0.3727563749998808
39,0.2258428775253046,0.1671017314354529,True,True,True,True,True,True,0.0028372053063361632,250,0.32667626694199337,0.002452994759100962,0.8498922445797832,,0.357134124962613
40,0.30610530899751526,0.29494408916913045,True,True,True,True,True,True,0.0027201975724305194,250,0.4340983001879707,0.010923257125768015,0.8498922445797832,,0.3659725000616163
41,0.3545619330943009,0.15098712053777483,True,True,True,True,True,True,0.001890849689817941,250,0.2974160899464337,0.00861897396241003,0.8498922445797832,,0.3539903750643134
42,0.4009633788747248,0.06668736664430934,True,True,True,True,True,True,0.0024246133022704243,250,0.23106105509773042,0.008803569687664757,0.8498922445797832,,0.3808402079157531
